,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1504,600348,阳泉煤业,0.58,20.83,,7.82,,140448.05,21.02,,10-30
1505,300619,金银河,0.53,-5.36,,9.15,,3967.39,0.35,,10-30
1506,601677,明泰铝业,0.68,17.24,,7.11,,39356.82,39.28,,10-30
1507,300307,慈星股份,0.19,-24.0,,3.78,,15344.46,-24.67,,10-30
1508,603598,引力传媒,0.19,72.73,,7.45,,5089.34,66.46,,10-30
1509,002606,大连电瓷,-0.02,-111.07,,-0.76,,-676.48,-111.36,,10-30
1510,000978,桂林旅游,0.22,13.99,,5.11,,7904.3,13.69,,10-30
1511,601801,皖新传媒,0.55,5.77,,11.21,,109258.69,5.38,,10-30
1512,300652,雷迪克,0.74,2.78,,9.47,,6483.5,19.28,,10-30
1513,002622,融钰集团,0.02,-41.75,,1.57,,1956.25,-37.54,,10-30
1514,600768,宁波富邦,-0.05,-108.18,,-5.47,,-719.54,-108.15,,10-30
1515,300017,网宿科技,0.25,6.18,,7.46,,61332.18,7.16,,10-30
1516,300355,蒙草生态,0.2,-55.56,,8.75,,32530.74,-54.69,,10-30
1517,603685,晨丰科技,0.54,-54.24,,7.63,,7022.02,-20.7,,10-30
1518,002654,万润科技,0.16,0.0,,4.43,,14034.78,6.71,,10-30
1519,002354,天神娱乐,0.27,-68.44,,2.7,,25132.32,-66.51,,10-29
1520,002370,亚太药业,0.31,10.71,,6.89,,16657.1,10.64,,10-29
1521,000636,风华高科,0.99,395.0,,18.08,,88798.32,386.52,,10-29
1522,002065,东华软件,0.21,-27.27,,7.15,,65435.14,-27.32,,10-29
1523,002386,天原集团,0.19,50.12,,3.26,,14850.18,74.56,,10-29
1524,002129,中环股份,0.16,-7.7,,3.54,,42580.62,-6.02,,10-29
1525,603928,兴业股份,0.54,17.39,,9.25,,10795.97,17.29,,10-29
1526,300490,华自科技,0.2,56.25,,3.62,,4447.57,73.67,,10-29
1527,000782,美达股份,0.07,75.0,,2.64,,3855.98,96.89,,10-29
1528,000851,高鸿股份,0.04,-42.43,,1.09,,3573.32,-20.31,,10-29
1529,300232,洲明科技,0.42,22.45,,16.52,,32359.15,50.63,,10-29
1530,300573,兴齐眼药,0.17,-67.31,,2.4,,1319.67,-68.47,,10-29
1531,000534,万泽股份,0.03,22.93,,1.06,,1606.55,22.66,,10-29
1532,300657,弘信电子,0.84,59.25,,16.08,,8775.29,85.7,,10-29
1533,601969,海南矿业,-0.27,-1711.76,,-11.55,,-53623.15,-1768.49,,10-29
1534,300360,炬华科技,0.31,-6.06,,6.11,,12839.74,7.07,,10-29
1535,002054,德美化工,0.09,4.51,,2.06,,3693.89,4.48,,10-29
1536,300729,乐歌股份,0.5,-26.47,,6.04,,4314.33,-1.97,,10-29
1537,002070,*ST众和,-0.27,21.94,,,,-17194.86,21.94,,10-29
1538,300415,伊之密,0.37,-21.28,,14.42,,15942.9,-22.21,,10-29
1539,000713,丰乐种业,-0.07,-47.86,,-1.59,,-2108.06,-47.84,,10-29
1540,603985,恒润股份,1.0,8.37,,9.02,,9341.65,46.82,,10-29
1541,002166,莱茵生物,0.18,-14.29,,7.16,,7747.87,-13.91,,10-29
1542,300237,美晨生态,0.27,-41.41,,11.49,,38692.69,5.45,,10-29
1543,601366,利群股份,0.35,0.0,,6.34,,29713.12,8.38,,10-29
1544,300596,利安隆,0.82,55.66,,15.37,,14810.47,58.58,,10-29
1545,300301,长方集团,0.01,-85.07,,0.21,,442.62,-85.08,,10-29
1546,002295,精艺股份,0.17,-11.18,,3.76,,4357.98,-11.52,,10-29
1547,300349,金卡智能,0.81,8.51,,10.89,,34627.3,96.54,,10-29
1548,300735,光弘科技,0.5,-5.7,,10.6,,17728.32,25.91,,10-29
1549,600536,中国软件,-0.48,14.29,,-12.12,,-23964.26,15.86,,10-29
1550,300468,四方精创,0.28,-45.2,,5.51,,5498.35,1.82,,10-29
1551,002772,众兴菌业,0.29,0.94,,3.96,,10590.85,0.94,,10-29
1552,300161,华中数控,-0.34,-1083.62,,-5.3,,-5913.85,-1083.46,,10-29
1553,300550,和仁科技,0.32,23.08,,4.94,,2568.86,24.26,,10-29
1554,002573,清新环境,0.46,-20.44,,10.95,,49501.83,-19.84,,10-29
1555,300306,远方信息,0.0,-98.89,,0.06,,117.64,-98.86,,10-29
1556,002284,亚太股份,0.05,-56.36,,1.25,,3534.28,-55.58,,10-29
1557,300651,金陵体育,0.36,1.91,,4.32,,2701.5,32.37,,10-29
1558,300667,必创科技,0.11,-42.11,,3.12,,1138.9,20.68,,10-29
1559,300683,海特生物,0.74,-29.52,,4.58,,7598.58,-30.07,,10-29
1560,002252,上海莱士,-0.26,-237.57,,-10.95,,-129281.72,-237.51,,10-29
1561,300323,华灿光电,0.51,15.91,,9.83,,49743.59,33.85,,10-29
1562,300684,中石科技,0.69,51.24,,17.9,,10786.7,263.03,,10-29
1563,002670,国盛金控,-0.13,-158.27,,-2.06,,-25420.56,-175.49,,10-29
1564,300718,长盛轴承,0.53,-57.26,,9.93,,10443.43,12.25,,10-29
1565,002703,浙江世宝,-0.01,-113.08,,-0.37,,-539.5,-113.13,,10-29
1566,600519,贵州茅台,19.69,23.76,,24.93,,2473355.27,23.77,,10-29
1567,603126,中材节能,0.15,-5.46,,5.69,,9185.5,-5.51,,10-29
1568,300501,海顺新材,0.51,-27.45,,8.32,,5180.86,9.57,,10-29
1569,300517,海波重科,0.22,4.76,,3.54,,2216.86,3.23,,10-29
1570,000534,万泽股份,0.03,22.93,,1.06,,1606.55,22.66,,10-29
1571,300657,弘信电子,0.84,59.25,,16.08,,8775.29,85.7,,10-29
1572,601969,海南矿业,-0.27,-1711.76,,-11.55,,-53623.15,-1768.49,,10-29
1573,300360,炬华科技,0.31,-6.06,,6.11,,12839.74,7.07,,10-29
1574,002354,天神娱乐,0.27,-68.44,,2.7,,25132.32,-66.51,,10-29
1575,002370,亚太药业,0.31,10.71,,6.89,,16657.1,10.64,,10-29
1576,000636,风华高科,0.99,395.0,,18.08,,88798.32,386.52,,10-29
1577,002065,东华软件,0.21,-27.27,,7.15,,65435.14,-27.32,,10-29
1578,002386,天原集团,0.19,50.12,,3.26,,14850.18,74.56,,10-29
1579,002129,中环股份,0.16,-7.7,,3.54,,42580.62,-6.02,,10-29
1580,603928,兴业股份,0.54,17.39,,9.25,,10795.97,17.29,,10-29
1581,300490,华自科技,0.2,56.25,,3.62,,4447.57,73.67,,10-29
1582,000782,美达股份,0.07,75.0,,2.64,,3855.98,96.89,,10-29
1583,000851,高鸿股份,0.04,-42.43,,1.09,,3573.32,-20.31,,10-29
1584,300232,洲明科技,0.42,22.45,,16.52,,32359.15,50.63,,10-29
1585,300573,兴齐眼药,0.17,-67.31,,2.4,,1319.67,-68.47,,10-29
1586,300596,利安隆,0.82,55.66,,15.37,,14810.47,58.58,,10-29
1587,300301,长方集团,0.01,-85.07,,0.21,,442.62,-85.08,,10-29
1588,002295,精艺股份,0.17,-11.18,,3.76,,4357.98,-11.52,,10-29
1589,300349,金卡智能,0.81,8.51,,10.89,,34627.3,96.54,,10-29
1590,002054,德美化工,0.09,4.51,,2.06,,3693.89,4.48,,10-29
1591,300729,乐歌股份,0.5,-26.47,,6.04,,4314.33,-1.97,,10-29
1592,002070,*ST众和,-0.27,21.94,,,,-17194.86,21.94,,10-29
1593,300415,伊之密,0.37,-21.28,,14.42,,15942.9,-22.21,,10-29
1594,000713,丰乐种业,-0.07,-47.86,,-1.59,,-2108.06,-47.84,,10-29
1595,603985,恒润股份,1.0,8.37,,9.02,,9341.65,46.82,,10-29
1596,002166,莱茵生物,0.18,-14.29,,7.16,,7747.87,-13.91,,10-29
1597,300237,美晨生态,0.27,-41.41,,11.49,,38692.69,5.45,,10-29
